video_id,fps,total_frames,duration
00000,28.9,1158,40.069204152249135
00003,30.0,1203,40.1
00004,30.0,1202,40.06666666666667
00005,30.6,1227,40.09803921568627
00006,30.0,1199,39.96666666666667
00007,30.0,1205,40.166666666666664
00008,30.0,1204,40.13333333333333
00010,30.0,1214,40.46666666666667
00013,30.0,1199,39.96666666666667
00014,30.0,1210,40.333333333333336
00015,30.0,1208,40.266666666666666
00016,29.8,1210,40.604026845637584
00017,30.0,1210,40.333333333333336
00018,30.0,1219,40.63333333333333
00019,30.6,1226,40.06535947712418
00021,30.0,1199,39.96666666666667
00022,30.0,1213,40.43333333333333
00023,30.0,1217,40.56666666666667
00024,30.0,1201,40.03333333333333
00025,30.0,1204,40.13333333333333
00026,30.0,540,18.0
00027,30.0,1200,40.0
00028,30.6,1225,40.03267973856209
00029,30.0,1202,40.06666666666667
00031,30.0,1202,40.06666666666667
00032,30.0,1202,40.06666666666667
00036,30.1,1198,39.80066445182724
00037,30.0,1206,40.2
00039,30.0,1215,40.5
00040,30.0,1169,38.96666666666667
00041,30.0,1151,38.36666666666667
00042,30.6,1230,40.19607843137255
00043,30.0,540,18.0
00044,30.0,1203,40.1
00046,30.0,1203,40.1
00047,30.0,1213,40.43333333333333
00048,30.0,570,19.0
00049,29.9,1181,39.49832775919732
00054,30.0,1209,40.3
00055,30.0,1219,40.63333333333333
00056,30.0,1211,40.36666666666667
00057,30.0,1216,40.53333333333333
00058,30.6,1201,39.248366013071895
00059,30.0,1201,40.03333333333333
00060,30.6,1228,40.130718954248366
00061,30.0,1208,40.266666666666666
00062,30.0,1202,40.06666666666667
00063,30.0,1201,40.03333333333333
00064,30.0,540,18.0
00065,30.0,1204,40.13333333333333
00066,29.9,1263,42.240802675585286
00068,30.0,1208,40.266666666666666
00071,30.0,1209,40.3
00072,30.5,1232,40.39344262295082
00074,30.0,1206,40.2
00076,30.0,1189,39.63333333333333
00077,29.7,1210,40.74074074074074
00078,30.0,1182,39.4
00079,30.0,1205,40.166666666666664
00081,30.0,1162,38.733333333333334
00082,30.0,1202,40.06666666666667
00083,30.0,540,18.0
00084,30.6,1226,40.06535947712418
00085,30.0,1207,40.233333333333334
00086,30.0,1203,40.1
00089,29.9,1202,40.20066889632107
00090,30.0,1206,40.2
00093,30.0,540,18.0
00095,30.0,540,18.0
00096,25.3,1048,41.422924901185766
00097,29.8,1205,40.43624161073826
00098,30.6,1227,40.09803921568627
00099,30.5,1246,40.85245901639344
00100,30.0,1163,38.766666666666666
00102,30.0,1174,39.13333333333333
00103,30.0,1198,39.93333333333333
00104,30.0,1201,40.03333333333333
00105,30.0,1217,40.56666666666667
00106,30.0,1184,39.46666666666667
00108,30.0,1208,40.266666666666666
00109,30.0,1202,40.06666666666667
00110,29.9,1201,40.16722408026756
00111,30.0,1204,40.13333333333333
00112,30.0,1203,40.1
00114,30.0,1210,40.333333333333336
00117,30.0,1181,39.36666666666667
00118,30.0,1197,39.9
00119,30.6,1172,38.30065359477124
00121,30.0,1215,40.5
00122,29.9,1207,40.36789297658863
00123,30.0,1216,40.53333333333333
00124,30.0,1239,41.3
00125,30.5,1232,40.39344262295082
00127,30.6,1227,40.09803921568627
00128,30.0,1208,40.266666666666666
00129,30.0,1203,40.1
00130,30.0,1201,40.03333333333333
00131,31.0,1278,41.225806451612904
00132,30.0,1252,41.733333333333334
00133,30.4,1212,39.86842105263158
00135,30.0,1213,40.43333333333333
00136,30.6,1221,39.90196078431372
00138,30.0,1195,39.833333333333336
00141,30.6,1234,40.326797385620914
00142,29.9,1208,40.401337792642146
00143,30.5,1213,39.77049180327869
00144,30.0,1203,40.1
00145,30.0,1130,37.666666666666664
00147,30.0,1322,44.06666666666667
00148,30.0,1203,40.1
00149,30.0,1198,39.93333333333333
00151,29.9,1203,40.23411371237459
00152,30.6,1248,40.78431372549019
00153,29.9,1203,40.23411371237459
00154,30.0,1206,40.2
00155,30.6,1233,40.29411764705882
00157,30.6,1223,39.967320261437905
00158,30.0,1222,40.733333333333334
00160,30.0,1205,40.166666666666664
00162,30.0,1279,42.63333333333333
00163,31.0,1212,39.096774193548384
00164,30.0,540,18.0
00166,30.5,1226,40.19672131147541
00167,30.0,1210,40.333333333333336
00168,30.0,1178,39.266666666666666
00169,31.0,1239,39.96774193548387
00170,30.0,1219,40.63333333333333
00171,30.0,570,19.0
00172,30.0,1210,40.333333333333336
00173,30.0,540,18.0
00174,30.0,1201,40.03333333333333
00175,29.9,1080,36.12040133779264
00177,30.0,1206,40.2
00179,30.0,1193,39.766666666666666
00180,30.0,1283,42.766666666666666
00181,29.7,932,31.38047138047138
00183,30.0,1213,40.43333333333333
00184,30.0,1256,41.86666666666667
00187,30.6,1220,39.869281045751634
00188,29.5,1177,39.898305084745765
00189,29.9,1167,39.030100334448164
00190,30.0,1216,40.53333333333333
00192,30.0,1208,40.266666666666666
00194,30.5,1225,40.16393442622951
00195,30.0,1240,41.333333333333336
00199,30.0,540,18.0
00200,30.6,1233,40.29411764705882
00201,30.0,1186,39.53333333333333
00202,30.0,1203,40.1
00205,30.5,1200,39.34426229508197
00206,30.0,1225,40.833333333333336
00207,30.0,1155,38.5
00208,30.0,1297,43.233333333333334
00209,30.0,1178,39.266666666666666
00210,30.0,1200,40.0
00213,29.9,1028,34.381270903010034
00214,30.6,1228,40.130718954248366
